URL,Tables_extracted_with_Html,Tables_extracted_with_Wikitext
https://en.wikipedia.org/wiki/Comparison_of_TLS_implementations,20,21
https://en.wikipedia.org/wiki/Comparison_of_early_World_War_II_tanks,1,1
https://en.wikipedia.org/wiki/Comparison_of_VoIP_software,4,6
https://en.wikipedia.org/wiki/Comparison_of_European_road_signs,4,11
https://en.wikipedia.org/wiki/Comparison_of_database_access,6,6
https://en.wikipedia.org/wiki/Comparison_of_European_traffic_laws,1,1
https://en.wikipedia.org/wiki/Comparison_of_Business_Process_Modeling_Notation_tools,1,1
https://en.wikipedia.org/wiki/Comparison_of_hex_editors,2,2
https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,28,28
https://en.wikipedia.org/wiki/Comparison_of_baseball_and_softball,1,1
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(ECMAScript),14,13
https://en.wikipedia.org/wiki/Comparison_of_programming_languages_(basic_instructions),16,16
https://en.wikipedia.org/wiki/Comparison_of_Android_e-book_reader_software,6,6
https://en.wikipedia.org/wiki/Comparison_of_DNS_blacklists,1,1
https://en.wikipedia.org/wiki/Comparison_of_Adobe_Flex_charts,2,2
https://en.wikipedia.org/wiki/Comparison_of_ADC_software,12,12
https://en.wikipedia.org/wiki/Comparison_of_ICBMs,1,1
https://en.wikipedia.org/wiki/Comparison_of_dance_video_games,1,1
https://en.wikipedia.org/wiki/Comparison_of_Scottish_Gaelic_and_Irish,3,3
https://en.wikipedia.org/wiki/Comparison_of_regular_expression_engines,5,5
https://en.wikipedia.org/wiki/Comparison_of_Nvidia_chipsets,20,20
https://en.wikipedia.org/wiki/Comparison_of_United_Kingdom_and_United_States_military_ranks,0,0
https://en.wikipedia.org/wiki/Comparison_of_massively_multiplayer_online_role-playing_games,1,1
https://en.wikipedia.org/wiki/Comparison_of_Solaris_distributions,3,3
https://en.wikipedia.org/wiki/Comparison_of_SSH_clients,4,4
https://en.wikipedia.org/wiki/Comparison_of_network_diagram_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_instant_messaging_clients,1,1
https://en.wikipedia.org/wiki/Comparison_of_PVR_software_packages,4,4
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(HTML),35,33
https://en.wikipedia.org/wiki/Comparison_of_container_formats,4,4
https://en.wikipedia.org/wiki/Comparison_of_optimization_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_Afrikaans_and_Dutch,3,3
https://en.wikipedia.org/wiki/Comparison_of_document_markup_languages,2,2
https://en.wikipedia.org/wiki/Comparison_between_U.S._states_and_countries_by_GDP_(nominal),0,1
https://en.wikipedia.org/wiki/Comparison_of_research_networking_tools_and_research_profiling_systems,6,6
https://en.wikipedia.org/wiki/Comparison_of_birth_control_methods,2,1
https://en.wikipedia.org/wiki/Comparison_of_reference_management_software,9,9
https://en.wikipedia.org/wiki/Comparison_of_HP_graphing_calculators,1,1
https://en.wikipedia.org/wiki/Comparison_of_distributed_file_systems,3,3
https://en.wikipedia.org/wiki/Comparison_of_North_American_ski_resorts,1,1
https://en.wikipedia.org/wiki/Comparison_of_consumer_brain–computer_interfaces,0,0
https://en.wikipedia.org/wiki/Comparison_of_JavaScript_frameworks,3,3
https://en.wikipedia.org/wiki/Comparison_of_English_dictionaries,3,3
https://en.wikipedia.org/wiki/Comparison_between_U.S._states_and_countries_by_GDP_(PPP),1,1
https://en.wikipedia.org/wiki/Comparison_of_cryptographic_hash_functions,3,3
https://en.wikipedia.org/wiki/Comparison_of_World_War_I_tanks,2,2
https://en.wikipedia.org/wiki/Comparison_of_AMD_chipsets,9,8
https://en.wikipedia.org/wiki/Comparison_of_photo_stitching_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_pumps,5,5
https://en.wikipedia.org/wiki/Comparison_of_Dewey_and_Library_of_Congress_subject_classification,0,0
https://en.wikipedia.org/wiki/Comparison_of_debuggers,1,1
https://en.wikipedia.org/wiki/Comparison_of_database_tools,4,4
https://en.wikipedia.org/wiki/Comparison_of_early_word_processors,1,1
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(XML),7,6
https://en.wikipedia.org/wiki/Comparison_of_file_comparison_tools,5,5
https://en.wikipedia.org/wiki/Comparison_of_netbooks,2,1
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(non-standard_HTML),35,33
https://en.wikipedia.org/wiki/Comparison_of_programming_languages_(syntax),4,4
https://en.wikipedia.org/wiki/Comparison_of_numerical_analysis_software,4,5
https://en.wikipedia.org/wiki/Comparison_of_executable_file_formats,1,1
https://en.wikipedia.org/wiki/Comparison_of_online_music_lockers,1,1
https://en.wikipedia.org/wiki/Comparison_of_project_management_software,3,3
https://en.wikipedia.org/wiki/Comparison_of_movie_cameras,6,6
https://en.wikipedia.org/wiki/Comparison_of_encrypted_external_drives,3,3
https://en.wikipedia.org/wiki/Comparison_of_online_backup_services,1,1
https://en.wikipedia.org/wiki/Comparison_of_file_synchronization_software,3,3
https://en.wikipedia.org/wiki/Comparison_of_AMD_processors,1,1
https://en.wikipedia.org/wiki/Comparison_of_agent-based_modeling_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_enterprise_bookmarking_platforms,6,6
https://en.wikipedia.org/wiki/Comparison_of_crowd_funding_services,0,0
https://en.wikipedia.org/wiki/Comparison_of_LAN_messengers,2,2
https://en.wikipedia.org/wiki/Comparison_of_operating_system_kernels,15,15
https://en.wikipedia.org/wiki/Comparison_of_digital_audio_editors,4,4
https://en.wikipedia.org/wiki/Comparison_of_iSCSI_targets,1,1
https://en.wikipedia.org/wiki/Comparison_of_disk_cloning_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_network_monitoring_systems,1,1
https://en.wikipedia.org/wiki/Comparison_of_Colorado_ski_resorts,1,1
https://en.wikipedia.org/wiki/Comparison_of_command_shells,6,6
https://en.wikipedia.org/wiki/Comparison_of_brainwave_entrainment_software,3,3
https://en.wikipedia.org/wiki/Comparison_of_file_systems,7,7
https://en.wikipedia.org/wiki/Comparison_of_karate_styles,0,0
https://en.wikipedia.org/wiki/Comparison_of_online_dating_websites,1,1
https://en.wikipedia.org/wiki/Comparison_of_OLAP_Servers,9,9
https://en.wikipedia.org/wiki/Comparison_of_MIDI_standards,1,1
https://en.wikipedia.org/wiki/Comparison_of_cricket_and_baseball,1,1
https://en.wikipedia.org/wiki/Comparison_of_color_models_in_computer_graphics,5,5
https://en.wikipedia.org/wiki/Comparison_of_BSD_operating_systems,1,1
https://en.wikipedia.org/wiki/Comparison_of_general_and_generalized_linear_models,1,1
https://en.wikipedia.org/wiki/Comparison_of_consumer_brain–computer_interfaces,0,0
https://en.wikipedia.org/wiki/Comparison_of_data_modeling_tools,2,2
https://en.wikipedia.org/wiki/Comparison_between_U.S._states_and_countries_by_GDP_(nominal)_per_capita,2,2
https://en.wikipedia.org/wiki/Comparison_of_raster-to-vector_conversion_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_HTML_parsers,1,1
https://en.wikipedia.org/wiki/Comparison_of_audio_player_software,10,11
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(HTML5_media),35,33
https://en.wikipedia.org/wiki/Comparison_of_optical_character_recognition_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_Toyota_hybrids,1,1
https://en.wikipedia.org/wiki/Comparison_of_IOC_FIFA_and_ISO_3166_country_codes,2,2
https://en.wikipedia.org/wiki/Comparison_of_YouTube_downloaders,3,3
https://en.wikipedia.org/wiki/Comparison_of_boot_loaders,2,2
https://en.wikipedia.org/wiki/List_of_Nvidia_graphics_processing_units,83,82
https://en.wikipedia.org/wiki/Comparison_of_netbook-oriented_Linux_distributions,2,2
https://en.wikipedia.org/wiki/Comparison_of_operating_systems,4,4
https://en.wikipedia.org/wiki/Comparison_of_parser_generators,5,5
https://en.wikipedia.org/wiki/List_of_AMD_graphics_processing_units,75,42
https://en.wikipedia.org/wiki/Comparison_of_Internet_Relay_Chat_daemons,5,5
https://en.wikipedia.org/wiki/Comparison_of_popular_optical_data-storage_systems,3,3
https://en.wikipedia.org/wiki/Comparison_of_Windows_Vista_and_Windows_XP,1,1
https://en.wikipedia.org/wiki/Comparison_of_WebSocket_implementations,1,1
https://en.wikipedia.org/wiki/Comparison_of_dosimeters,1,1
https://en.wikipedia.org/wiki/Comparison_of_e-book_readers,3,3
https://en.wikipedia.org/wiki/Comparison_of_Axis_&_Allies_games,1,1
https://en.wikipedia.org/wiki/Comparison_of_United_States_presidential_candidates_2008,39,39
https://en.wikipedia.org/wiki/Comparison_of_OpenXPS_and_PDF,1,1
https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_audio_formats,6,6
https://en.wikipedia.org/wiki/List_of_Intel_graphics_processing_units,13,12
https://en.wikipedia.org/wiki/Comparison_of_desktop_application_launchers,4,4
https://en.wikipedia.org/wiki/Comparison_of_dental_practice_management_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_image_viewers,6,6
https://en.wikipedia.org/wiki/Comparison_of_Nikon_DSLR_cameras,1,1
https://en.wikipedia.org/wiki/Comparison_of_geographic_information_systems_software,4,4
https://en.wikipedia.org/wiki/Comparison_of_notetaking_software,3,3
https://en.wikipedia.org/wiki/Comparison_of_eDonkey_software,4,4
https://en.wikipedia.org/wiki/Comparison_of_Home_Owners'_and_Civic_Associations,1,1
https://en.wikipedia.org/wiki/Comparison_of_California_ski_resorts,1,1
https://en.wikipedia.org/wiki/Comparison_of_Linux_distributions,6,6
https://en.wikipedia.org/wiki/Comparison_of_open-source_configuration_management_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_Macintosh_models,7,5
https://en.wikipedia.org/wiki/Comparison_of_CalDAV_and_CardDAV_implementations,2,2
https://en.wikipedia.org/wiki/Comparison_of_Intel_processors,1,1
https://en.wikipedia.org/wiki/Comparison_of_401(k)_and_IRA_accounts,1,1
https://en.wikipedia.org/wiki/Comparison_of_JavaScript-based_source_code_editors,2,2
https://en.wikipedia.org/wiki/Comparison_of_C_Sharp_and_Visual_Basic_.NET,0,0
https://en.wikipedia.org/wiki/Comparison_of_document_interfaces,1,1
https://en.wikipedia.org/wiki/Comparison_of_DEX_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_ad_servers,1,1
https://en.wikipedia.org/wiki/Comparison_of_e-book_formats,2,2
https://en.wikipedia.org/wiki/Comparison_of_net-connected_media_players,4,4
https://en.wikipedia.org/wiki/Comparison_of_UPnP_AV_media_servers,1,1
https://en.wikipedia.org/wiki/Comparison_of_S.M.A.R.T._tools,1,1
https://en.wikipedia.org/wiki/Comparison_of_code_generation_tools,2,2
https://en.wikipedia.org/wiki/Comparison_of_Chinese_romanization_systems,1,1
https://en.wikipedia.org/wiki/Comparison_of_object-relational_mapping_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_BitTorrent_clients,9,10
https://en.wikipedia.org/wiki/Comparison_of_DNS_server_software,3,3
https://en.wikipedia.org/wiki/Comparison_between_Esperanto_and_Interlingua,3,3
https://en.wikipedia.org/wiki/Comparison_of_accounting_software,3,3
https://en.wikipedia.org/wiki/Comparison_between_Ido_and_Novial,2,2
https://en.wikipedia.org/wiki/Comparison_of_mobile_operating_systems,17,17
https://en.wikipedia.org/wiki/Comparison_of_continuous_integration_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(Cascading_Style_Sheets),7,5
https://en.wikipedia.org/wiki/Comparison_of_programming_paradigms,2,2
https://en.wikipedia.org/wiki/Comparison_of_Subversion_clients,2,2
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(XHTML),3,2
https://en.wikipedia.org/wiki/Comparison_of_Symbian_devices,1,1
https://en.wikipedia.org/wiki/Comparison_of_MySQL_database_engines,1,1
https://en.wikipedia.org/wiki/Comparison_of_radio_systems,1,1
https://en.wikipedia.org/wiki/Comparison_of_mobile_Internet_Relay_Chat_clients,5,5
https://en.wikipedia.org/wiki/Comparison_of_privilege_authorization_features,0,0
https://en.wikipedia.org/wiki/Comparison_of_Canon_EOS_digital_cameras,1,1
https://en.wikipedia.org/wiki/Comparison_of_file_verification_software,3,3
https://en.wikipedia.org/wiki/Comparison_of_photo_gallery_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_HTML_editors,7,7
https://en.wikipedia.org/wiki/Comparison_of_Malaysian_and_Indonesian,4,4
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(graphics),6,4
https://en.wikipedia.org/wiki/Comparison_of_Chernobyl_and_other_radioactivity_releases,1,1
https://en.wikipedia.org/wiki/Comparison_of_Texas_Instruments_graphing_calculators,2,2
https://en.wikipedia.org/wiki/Comparison_of_Office_Open_XML_and_OpenDocument,1,1
https://en.wikipedia.org/wiki/Comparison_of_US_and_Chinese_Military_Armed_Forces,1,1
https://en.wikipedia.org/wiki/Comparison_of_embedded_computer_systems_on_board_the_Mars_rovers,1,0
https://en.wikipedia.org/wiki/Comparison_of_SSH_servers,3,3
https://en.wikipedia.org/wiki/Comparison_of_iPod_managers,4,4
https://en.wikipedia.org/wiki/Comparison_between_Argentine_provinces_and_countries_by_GDP_(PPP)_per_capita,1,1
https://en.wikipedia.org/wiki/Comparison_of_HTML5_and_Flash,1,1
https://en.wikipedia.org/wiki/Comparison_of_IPv6_support_in_operating_systems,1,1
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(Scalable_Vector_Graphics),4,3
https://en.wikipedia.org/wiki/Comparison_of_orbital_launchers_families,1,1
https://en.wikipedia.org/wiki/Comparison_of_Lemmings_ports,0,0
https://en.wikipedia.org/wiki/Comparison_of_web_server_software,3,3
https://en.wikipedia.org/wiki/Comparison_of_memory_cards,6,6
https://en.wikipedia.org/wiki/Comparison_of_Power_Management_Software_Suites,1,1
https://en.wikipedia.org/wiki/Comparison_of_hub_gears,1,1
https://en.wikipedia.org/wiki/Comparison_of_issue-tracking_systems,6,6
https://en.wikipedia.org/wiki/Comparison_of_Java_and_C++,6,5
https://en.wikipedia.org/wiki/Comparison_of_instant_messaging_protocols,1,1
https://en.wikipedia.org/wiki/Comparison_of_H.264_and_VC-1,3,3
https://en.wikipedia.org/wiki/Comparison_of_disc_image_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_defragmentation_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_object-relational_database_management_systems,3,3
https://en.wikipedia.org/wiki/Comparison_of_mobile_phone_standards,3,2
https://en.wikipedia.org/wiki/Comparison_of_genealogy_software,4,4
https://en.wikipedia.org/wiki/Comparison_of_BitTorrent_tracker_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_data_serialization_formats,3,3
https://en.wikipedia.org/wiki/Comparison_of_cognitive_architectures,1,1
https://en.wikipedia.org/wiki/Comparison_of_assemblers,8,8
https://en.wikipedia.org/wiki/Comparison_of_BitTorrent_sites,1,1
https://en.wikipedia.org/wiki/Comparison_of_audio_synthesis_environments,4,4
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(Document_Object_Model),14,13
https://en.wikipedia.org/wiki/Comparison_of_JavaScript_charting_frameworks,1,1
https://en.wikipedia.org/wiki/Comparison_of_Asian_national_space_programs,41,41
https://en.wikipedia.org/wiki/Comparison_of_CRT_LCD_Plasma_and_OLED,1,1
https://en.wikipedia.org/wiki/Comparison_of_NMDC_Software,6,6
https://en.wikipedia.org/wiki/Comparison_of_office_suites,4,4
https://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses,3,3
https://en.wikipedia.org/wiki/Comparison_of_Internet_Relay_Chat_bots,1,1
https://en.wikipedia.org/wiki/Comparison_of_email_clients,10,11
https://en.wikipedia.org/wiki/Comparison_of_CAD_CAM_and_CAE_file_viewers,1,1
https://en.wikipedia.org/wiki/Comparison_of_AMD_CPU_microarchitectures,1,1
https://en.wikipedia.org/wiki/Comparison_of_desktop_publishing_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_Portuguese_and_Spanish,21,21
https://en.wikipedia.org/wiki/Comparison_of_linear_algebra_libraries,2,2
https://en.wikipedia.org/wiki/Comparison_of_OpenDocument_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_browser_synchronizers,4,5
https://en.wikipedia.org/wiki/Comparison_of_disk_encryption_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_Internet_Relay_Chat_clients,7,7
https://en.wikipedia.org/wiki/Comparison_of_chess_video_games,2,2
https://en.wikipedia.org/wiki/Comparison_of_raster_graphics_editors,5,7
https://en.wikipedia.org/wiki/Comparison_of_PSA_systems,1,1
https://en.wikipedia.org/wiki/Comparison_of_MUD_clients,4,4
https://en.wikipedia.org/wiki/Comparison_of_open-source_wireless_drivers,10,10
https://en.wikipedia.org/wiki/Comparison_of_instruction_set_architectures,1,1
https://en.wikipedia.org/wiki/Comparison_of_programming_languages_(array),5,5
https://en.wikipedia.org/wiki/Comparison_of_archive_formats,3,3
https://en.wikipedia.org/wiki/Comparison_of_programming_languages_(strings),7,7
https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,4,4
https://en.wikipedia.org/wiki/List_of_BPEL_engines,1,1
https://en.wikipedia.org/wiki/Comparison_between_Esperanto_and_Ido,8,8
https://en.wikipedia.org/wiki/Comparison_of_file_archivers,4,5
https://en.wikipedia.org/wiki/Comparison_of_display_technology,1,1
https://en.wikipedia.org/wiki/Comparison_of_open-source_software_hosting_facilities,5,5
https://en.wikipedia.org/wiki/Comparison_between_Ido_and_Interlingua,2,2
https://en.wikipedia.org/wiki/Comparison_of_graphics_file_formats,2,2
https://en.wikipedia.org/wiki/Comparison_of_FTP_client_software,7,7
https://en.wikipedia.org/wiki/Comparison_of_orbital_rocket_engines,2,2
https://en.wikipedia.org/wiki/Comparison_of_digital_SLRs,1,1
https://en.wikipedia.org/wiki/List_of_FTP_server_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_disc_authoring_software,7,7
https://en.wikipedia.org/wiki/Comparison_of_documentation_generators,8,8
https://en.wikipedia.org/wiki/Comparison_of_free_credit_report_websites,1,1
https://en.wikipedia.org/wiki/Comparison_of_Usenet_newsreaders,1,1
https://en.wikipedia.org/wiki/Comparison_of_TeX_editors,4,4
https://en.wikipedia.org/wiki/Comparison_of_personal_air_vehicles,2,2
https://en.wikipedia.org/wiki/Comparison_of_Java_Remote_Desktop_projects,2,2
https://en.wikipedia.org/wiki/Comparison_of_antivirus_software,10,10
https://en.wikipedia.org/wiki/Comparison_of_Unicode_encodings,2,2
https://en.wikipedia.org/wiki/Comparison_of_feed_aggregators,4,5
https://en.wikipedia.org/wiki/Comparison_of_ALGOL_68_and_C++,1,1
https://en.wikipedia.org/wiki/Comparison_of_CRM_systems,2,2
https://en.wikipedia.org/wiki/Comparison_of_EDA_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_programming_languages,3,3
https://en.wikipedia.org/wiki/Comparison_of_application_servers,1,1
https://en.wikipedia.org/wiki/Comparison_of_open-source_operating_systems,8,8
https://en.wikipedia.org/wiki/Comparison_of_machine_translation_applications,2,2
https://en.wikipedia.org/wiki/Comparison_of_U.S._state_governments,4,4
https://en.wikipedia.org/wiki/Comparison_of_DOS_operating_systems,2,2
https://en.wikipedia.org/wiki/Comparison_of_iOS_e-book_reader_software,7,7
https://en.wikipedia.org/wiki/Comparison_of_development_estimation_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_Microsoft_Windows_versions,19,19
https://en.wikipedia.org/wiki/Comparison_of_online_music_stores,1,1
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(HTML5),35,33
https://en.wikipedia.org/wiki/Comparison_of_XMPP_server_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_handheld_game_consoles,3,3
https://en.wikipedia.org/wiki/Comparison_of_ATI_chipsets,4,4
https://en.wikipedia.org/wiki/Comparison_of_XML_editors,1,1
https://en.wikipedia.org/wiki/Comparison_of_file_sharing_applications,1,1
https://en.wikipedia.org/wiki/Comparison_of_C_Sharp_and_Java,21,21
https://en.wikipedia.org/wiki/Comparison_of_Prolog_implementations,5,5
https://en.wikipedia.org/wiki/Comparison_of_OpenGL_and_Direct3D,1,1
https://en.wikipedia.org/wiki/Comparison_of_help_desk_issue_tracking_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_programming_languages_(object-oriented_programming),17,17
https://en.wikipedia.org/wiki/Comparison_of_download_managers,3,3
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(HTML5_canvas),35,33
https://en.wikipedia.org/wiki/Comparison_of_business_integration_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_Internet_forum_software,3,3
https://en.wikipedia.org/wiki/Comparison_of_portable_media_players,7,7
https://en.wikipedia.org/wiki/Comparison_of_free_software_e-commerce_web_application_frameworks,16,16
https://en.wikipedia.org/wiki/Comparison_of_X_Window_System_desktop_environments,2,2
https://en.wikipedia.org/wiki/Comparison_of_anaerobic_and_aerobic_digestion,1,1
https://en.wikipedia.org/wiki/Comparison_of_neurofeedback_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_Nintendo_portable_consoles,0,0
https://en.wikipedia.org/wiki/Comparison_of_high_definition_optical_disc_formats,2,0
https://en.wikipedia.org/wiki/Comparison_of_platform_virtualization_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(XHTML_1.1),24,23
https://en.wikipedia.org/wiki/Comparison_of_orbital_launch_systems,2,2
https://en.wikipedia.org/wiki/Comparison_of_facial_image_datasets,37,37
https://en.wikipedia.org/wiki/Comparison_between_Esperanto_and_Novial,5,5
https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems,1,1
https://en.wikipedia.org/wiki/Comparison_(grammar),2,2
https://en.wikipedia.org/wiki/Comparison_of_packet_analyzers,3,3
https://en.wikipedia.org/wiki/Comparison_of_programming_languages_(string_functions),45,25
https://en.wikipedia.org/wiki/Comparison_of_3D_computer_graphics_software,12,12
https://en.wikipedia.org/wiki/Comparison_of_firewalls,7,7
https://en.wikipedia.org/wiki/Comparison_of_X_window_managers,1,1
https://en.wikipedia.org/wiki/Comparison_of_Norwegian_Bokmål_and_Standard_Danish,6,6
https://en.wikipedia.org/wiki/Comparison_of_alcopops,0,0
https://en.wikipedia.org/wiki/Comparison_of_Hokkien_writing_systems,4,0
https://en.wikipedia.org/wiki/Comparison_of_metadata_editors,1,1
https://en.wikipedia.org/wiki/Comparison_of_mail_servers,3,3
https://en.wikipedia.org/wiki/Comparison_of_cluster_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_national_standards_of_Chinese,1,1
https://en.wikipedia.org/wiki/Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents,4,4
https://en.wikipedia.org/wiki/Comparison_of_Java_virtual_machines,4,4
https://en.wikipedia.org/wiki/Comparison_of_Vector_Formats_(GIS),2,2
https://en.wikipedia.org/wiki/Comparison_of_Office_Open_XML_software,3,3
https://en.wikipedia.org/wiki/Comparison_of_microblogging_services,3,3
https://en.wikipedia.org/wiki/Comparison_of_file_managers,8,8
https://en.wikipedia.org/wiki/Comparison_of_MD_and_DO_in_the_United_States,0,1
https://en.wikipedia.org/wiki/Comparison_of_802.15.4_radio_modules,2,2
https://en.wikipedia.org/wiki/Comparison_of_file_hosting_services,1,1
https://en.wikipedia.org/wiki/Comparison_of_relational_database_management_systems,11,11
Total,1612,1544